epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8234,1.13753,2.03449,1.22147,0,0,0,0,0,0,0,0.0703409,0.00329545,0.00329545
2,51.7272,1.15512,1.38631,1.26543,0,0,0,0,0,0,0,0.0399034,0.00619129,0.00619129
3,73.9564,1.14796,1.28291,1.30643,0,0,0,0,0,0,0,0.00902591,0.00864712,0.00864712
4,95.9112,1.13096,1.23072,1.2714,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
5,116.793,1.01443,1.07336,1.19291,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
6,139.368,0.95932,0.98788,1.16376,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
7,160.302,0.88749,0.88852,1.11891,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
8,186.699,0.86247,0.81039,1.10089,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
9,207.171,0.82184,0.75547,1.07258,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
10,227.613,0.7834,0.6915,1.04205,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
11,247.97,0.77289,0.6618,1.03591,0,0,0,0,0,0,0,0.0034,0.0034,0.0034
12,268.875,0.76014,0.6254,1.0171,0,0,0,0,0,0,0,0.00274,0.00274,0.00274
13,289.15,0.74114,0.6136,1.01445,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
14,309.257,0.68983,0.58144,0.98081,0,0,0,0,0,0,0,0.00142,0.00142,0.00142
15,340.496,0.68725,0.563,0.98445,0.87983,0.77639,0.84613,0.69,0.63092,0.50053,0.95595,0.00076,0.00076,0.00076
